weight	height
-4.40E-01	-8.41E-02
7.95E-02	-5.73E-01
-1.50E-01	-2.74E-01
-3.97E-01	-8.79E-01
-6.16E-02	-2.53E-01
-2.71E-01	-1.69E-01
-3.29E-01	-2.81E-01
-4.20E-01	-3.24E-01
3.29E-02	-5.44E-01
-4.18E-01	-5.11E-01
-7.37E-02	-4.22E-01
-6.70E-01	-3.76E-01
-3.76E-01	-2.32E-01
-3.50E-01	-3.90E-01
-1.77E-01	-3.02E-01
-4.61E-01	-4.92E-01
-2.01E-01	-1.57E-02
-4.69E-01	-3.29E-01
-1.84E-01	-2.45E-01
-4.46E-01	-4.31E-01
4.89E-02	-4.74E-01
-4.59E-01	-3.94E-01
-3.93E-01	-6.61E-01
-4.95E-01	-1.73E-01
-5.55E-01	-2.22E-02
-3.35E-01	-1.35E-01
-2.14E-01	-2.02E-01
1.06E-01	-1.05E-02
-1.08E-01	-1.26E-01
-1.18E-02	-6.83E-03
-4.62E-01	-3.87E-01
-2.39E-01	-1.14E-01
-3.96E-01	-5.56E-01
-2.21E-01	-3.02E-01
-2.80E-01	-3.80E-01
-2.95E-01	-7.49E-02
-2.84E-01	-2.80E-01
-5.96E-02	-2.31E-01
-1.29E-01	-3.00E-01
-2.55E-01	-9.46E-02
-4.64E-01	-4.09E-01
-6.03E-02	-4.28E-01
-5.15E-02	-3.84E-01
-9.15E-02	-3.05E-01
-2.96E-01	7.87E-03
-1.18E-01	2.59E-02
-6.68E-02	-6.17E-01
-1.63E-01	-4.18E-01
-8.25E-03	-1.00E+00
-5.57E-01	-6.08E-01
1.00E+00	3.77E-01
-3.14E-01	2.73E-01
2.91E-01	-4.53E-01
2.66E-01	4.88E-01
7.29E-03	4.70E-03
1.68E-01	1.95E-01
6.92E-01	5.60E-01
-2.12E-01	1.34E-01
1.92E-01	4.87E-02
-3.44E-01	3.09E-01
-3.24E-02	2.92E-02
2.95E-02	-3.33E-01
2.98E-01	-2.60E-01
5.63E-01	4.95E-01
3.34E-01	4.40E-01
7.30E-01	-2.07E-01
8.93E-01	2.00E-01
-1.26E-01	-1.34E-03
1.18E-01	-1.09E-01
-1.15E-01	3.84E-01
-3.94E-01	-1.36E-01
-1.76E-01	2.64E-01
2.59E-01	1.05E-01
-9.69E-02	-3.22E-01
8.13E-01	5.78E-01
3.00E-01	2.46E-01
9.59E-03	4.15E-01
3.20E-01	2.26E-01
4.27E-01	4.76E-01
-2.62E-01	1.17E-01
6.99E-01	1.47E-01
-1.74E-01	1.94E-01
6.75E-01	3.65E-01
-7.68E-01	-1.88E-01
-1.00E+00	-5.98E-02
2.43E-02	1.29E-01
-3.17E-01	4.09E-01
4.73E-01	1.00E+00
6.97E-02	-9.82E-02
7.56E-01	6.35E-01
4.43E-01	-2.51E-02
1.28E-01	-1.13E-02
4.40E-01	2.22E-01
1.37E-01	3.95E-01
-1.16E-01	3.83E-01
2.95E-01	-1.66E-01
-1.58E-01	6.04E-01
2.76E-01	-6.77E-02
-5.90E-02	4.94E-01
-5.19E-02	1.13E-01
