provider,model,temperature,random_seed,n_shot,example_strategy,class_0,class_1,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_class_0_expert,n_class_1_expert,n_class_0_llm,n_class_1_llm,n_disagreements,n_total_test,n_malformed_responses,expert_w_0,expert_w_1
openai,gpt-4o-mini,0.0,42,0,easy,A,B,0,0.5933333333333334,0.1977906365071016,0.5933333333333333,0.8533333333333334,0.5133333333333333,73,77,114,36,61,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,easy,A,B,1,0.58,0.17206938847029962,0.5800000000000001,0.8533333333333334,0.5266666666666666,73,77,116,34,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,hard,A,B,0,0.5933333333333334,0.1977906365071016,0.5933333333333333,0.8533333333333334,0.5133333333333333,73,77,114,36,61,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,hard,A,B,1,0.58,0.17206938847029962,0.5800000000000001,0.8533333333333334,0.5266666666666666,73,77,116,34,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,mixed,A,B,0,0.5933333333333334,0.1977906365071016,0.5933333333333333,0.8533333333333334,0.5133333333333333,73,77,114,36,61,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,mixed,A,B,1,0.58,0.17206938847029962,0.5800000000000001,0.8533333333333334,0.5266666666666666,73,77,116,34,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,random,A,B,0,0.5933333333333334,0.1977906365071016,0.5933333333333333,0.8533333333333334,0.5133333333333333,73,77,114,36,61,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,random,A,B,1,0.58,0.17206938847029962,0.5800000000000001,0.8533333333333334,0.5266666666666666,73,77,116,34,63,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,easy,A,B,0,0.9121621621621622,0.8234862385321101,0.9121621621621622,0.8533333333333334,0.8581081081081081,73,77,61,87,13,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,easy,A,B,1,0.9121621621621622,0.8234862385321101,0.9121621621621622,0.8533333333333334,0.8581081081081081,73,77,61,87,13,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,hard,A,B,0,0.6148648648648649,0.24218469277757815,0.6148648648648648,0.8533333333333334,0.7027027027027027,73,77,119,29,57,148,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,3,hard,A,B,1,0.6216216216216216,0.25574712643678155,0.6216216216216217,0.8533333333333334,0.6959459459459459,73,77,120,28,56,148,0,0.3,1.5
