provider,model,temperature,random_seed,n_shot_phase_bc,class_0,class_1,repetition,fidelity_problem_a,consistency_problem_b,kappa_problem_b,f1_problem_b,consistency_problem_c,kappa_problem_c,f1_problem_c,llm_accuracy_problem_a,llm_accuracy_problem_b,llm_accuracy_problem_c,metric_accuracy_problem_b,metric_accuracy_problem_c,w_0,w_1,gamma,n_disagreements_b,n_disagreements_c,n_malformed_responses,euclidean_consistency_b,euclidean_consistency_c,diagonal_limitation_flag
openai,gpt-4o-mini,0.0,42,0,A,B,0,0.66,0.58,0.07079646017699126,0.58,0.59,0.19227738376674552,0.5900000000000001,0.29333333333333333,0.44,0.51,0.76,0.86,0.0,0.3616157586159571,0.0,42,41,0,0.7,0.65,1
openai,gpt-4o-mini,0.0,42,0,A,B,1,0.66,0.58,0.07732864674868178,0.5800000000000001,0.59,0.19354838709677424,0.59,0.29333333333333333,0.44,0.53,0.76,0.86,0.0,0.3616157586159571,0.0,42,41,0,0.7,0.63,1
openai,gpt-4o-mini,0.0,42,5,A,B,0,0.66,0.8020833333333334,0.5884476534296028,0.8020833333333333,0.9166666666666666,0.8339100346020761,0.9166666666666667,0.29333333333333333,0.8645833333333334,0.8958333333333334,0.75,0.8541666666666666,0.0,0.3616157586159571,0.0,19,8,0,0.2604166666666667,0.2604166666666667,0
openai,gpt-4o-mini,0.0,42,5,A,B,1,0.66,0.7916666666666666,0.5683453237410072,0.7916666666666667,0.9270833333333334,0.8547968885047537,0.9270833333333334,0.29333333333333333,0.875,0.90625,0.75,0.8541666666666666,0.0,0.3616157586159571,0.0,20,7,0,0.25,0.25,0
openai,gpt-4o-mini,0.0,42,10,A,B,0,0.66,0.8444444444444444,0.6960926193921853,0.8444444444444444,0.9333333333333333,0.8671913428430891,0.9333333333333333,0.29333333333333333,0.8444444444444444,0.8666666666666667,0.7333333333333333,0.8444444444444444,0.0,0.3616157586159571,0.0,14,6,0,0.25555555555555554,0.24444444444444444,0
openai,gpt-4o-mini,0.0,42,10,A,B,1,0.66,0.8555555555555555,0.7167070217917675,0.8555555555555554,0.9444444444444444,0.8892171344165436,0.9444444444444444,0.29333333333333333,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.8444444444444444,0.0,0.3616157586159571,0.0,13,5,0,0.26666666666666666,0.25555555555555554,0
openai,gpt-4o-mini,0.0,42,10,0,1,0,0.64,0.7222222222222222,0.48418156808803303,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.5266666666666666,0.14444444444444443,0.14444444444444443,0.2222222222222222,0.15555555555555556,0.0,0.3520392277920022,0.0,25,5,0,0.2222222222222222,0.3333333333333333,0
openai,gpt-4o-mini,0.0,42,10,0,1,1,0.64,0.7222222222222222,0.48418156808803303,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.5266666666666666,0.14444444444444443,0.14444444444444443,0.2222222222222222,0.15555555555555556,0.0,0.3520392277920022,0.0,25,5,0,0.2222222222222222,0.3333333333333333,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,0,0.9933333333333333,0.7111111111111111,0.4356005788712012,0.7111111111111111,0.6555555555555556,0.3111111111111111,0.6555555555555556,0.1,0.5,0.6444444444444445,0.2111111111111111,0.32222222222222224,0.8301117769129098,4.553287781048001,0.0,26,31,0,0.5888888888888889,0.4222222222222222,0
openai,gpt-4o-mini,0.0,42,10,Positivo,Negativo,1,0.9933333333333333,0.7111111111111111,0.4356005788712012,0.7111111111111111,0.6555555555555556,0.3111111111111111,0.6555555555555556,0.1,0.5,0.6444444444444445,0.2111111111111111,0.32222222222222224,0.8301117769129098,4.553287781048001,0.0,26,31,0,0.5888888888888889,0.4222222222222222,0
openai,gpt-4o-mini,0.0,42,10,Azul,Vermelho,0,0.8733333333333333,0.7,0.4150216658642273,0.7,0.7444444444444445,0.5152224824355971,0.7444444444444445,0.17333333333333334,0.4888888888888889,0.6,0.2777777777777778,0.43333333333333335,0.22112066127339808,1.5820337804344207,0.0,27,23,0,0.6,0.5111111111111111,0
openai,gpt-4o-mini,0.0,42,10,Azul,Vermelho,1,0.8733333333333333,0.7222222222222222,0.4514870794734276,0.7222222222222223,0.7555555555555555,0.5341176470588236,0.7555555555555555,0.17333333333333334,0.5111111111111111,0.6111111111111112,0.2777777777777778,0.43333333333333335,0.22112066127339808,1.5820337804344207,0.0,25,22,0,0.6,0.5,0
openai,gpt-4o-mini,0.0,123,0,A,B,0,0.8533333333333334,0.81,0.2813918305597579,0.81,0.79,0.49226305609284327,0.79,0.3333333333333333,0.44,0.57,0.47,0.64,0.40066393257688354,1.192921829738081,0.0,19,21,0,0.71,0.64,0
openai,gpt-4o-mini,0.0,123,0,A,B,1,0.8533333333333334,0.84,0.43462897526501765,0.8400000000000001,0.79,0.5,0.7899999999999999,0.3333333333333333,0.45,0.53,0.47,0.64,0.40066393257688354,1.192921829738081,0.0,16,21,0,0.7,0.68,0
openai,gpt-4o-mini,0.0,123,5,A,B,0,0.8533333333333334,0.6979166666666666,0.37912578055307755,0.6979166666666667,0.65625,0.3172413793103448,0.65625,0.3333333333333333,0.28125,0.9479166666666666,0.4791666666666667,0.625,0.40066393257688354,1.192921829738081,0.0,29,33,0,0.84375,0.2708333333333333,1
openai,gpt-4o-mini,0.0,123,5,A,B,1,0.8533333333333334,0.7083333333333334,0.3921302578018996,0.7083333333333333,0.6458333333333334,0.3013698630136987,0.6458333333333333,0.3333333333333333,0.2708333333333333,0.9583333333333334,0.4791666666666667,0.625,0.40066393257688354,1.192921829738081,0.0,28,34,0,0.8541666666666666,0.2604166666666667,1
openai,gpt-4o-mini,0.0,123,10,A,B,0,0.8533333333333334,0.5333333333333333,0.20118343195266275,0.5333333333333333,0.8111111111111111,0.6192135390741662,0.8111111111111111,0.3333333333333333,0.4666666666666667,0.7222222222222222,0.4888888888888889,0.6222222222222222,0.40066393257688354,1.192921829738081,0.0,42,17,0,0.5888888888888889,0.4777777777777778,1
openai,gpt-4o-mini,0.0,123,10,A,B,1,0.8533333333333334,0.5777777777777777,0.23728813559322037,0.5777777777777777,0.8333333333333334,0.6585735963581183,0.8333333333333333,0.3333333333333333,0.4666666666666667,0.7,0.4888888888888889,0.6222222222222222,0.40066393257688354,1.192921829738081,0.0,38,15,0,0.6333333333333333,0.5,1
openai,gpt-4o-mini,0.0,123,10,0,1,0,0.6466666666666666,0.5333333333333333,0.18604651162790686,0.5333333333333333,0.7333333333333333,0.4869358669833729,0.7333333333333334,0.5666666666666667,0.6333333333333333,0.7777777777777778,0.8777777777777778,0.9111111111111111,1.10192048724008,0.01666040973892123,0.0,42,24,0,0.4444444444444444,0.6,0
openai,gpt-4o-mini,0.0,123,10,0,1,1,0.6466666666666666,0.5333333333333333,0.18604651162790686,0.5333333333333333,0.7111111111111111,0.4462849029815428,0.711111111111111,0.5666666666666667,0.6333333333333333,0.7555555555555555,0.8777777777777778,0.9111111111111111,1.10192048724008,0.01666040973892123,0.0,42,26,0,0.4444444444444444,0.5777777777777777,0
openai,gpt-4o-mini,0.0,123,10,Positivo,Negativo,0,0.9933333333333333,0.7555555555555555,0.5139911634756995,0.7555555555555555,0.8222222222222222,0.6444444444444444,0.8222222222222222,0.16,0.4888888888888889,0.5222222222222223,0.26666666666666666,0.45555555555555555,1.3983380646948493,5.8243860549941475,0.0,22,16,0,0.5555555555555556,0.5333333333333333,0
openai,gpt-4o-mini,0.0,123,10,Positivo,Negativo,1,0.9933333333333333,0.7888888888888889,0.5814977973568282,0.7888888888888889,0.8111111111111111,0.6222222222222222,0.8111111111111111,0.16,0.45555555555555555,0.5333333333333333,0.26666666666666666,0.45555555555555555,1.3983380646948493,5.8243860549941475,0.0,19,17,0,0.5888888888888889,0.5222222222222223,0
openai,gpt-4o-mini,0.0,123,10,Azul,Vermelho,0,0.8933333333333333,0.7,0.37209302325581395,0.7000000000000001,0.5111111111111111,0.08333333333333337,0.5111111111111111,0.22,0.4444444444444444,0.25555555555555554,0.2111111111111111,0.36666666666666664,0.5518284378489188,1.7022799561390534,0.0,27,44,0,0.6444444444444445,0.7,0
