provider,model,temperature,random_seed,n_shot,example_strategy,expert_name,class_0,class_1,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_class_0_expert,n_class_1_expert,n_class_0_llm,n_class_1_llm,n_disagreements,n_total_test,n_malformed_responses,expert_w_0,expert_w_1
openai,gpt-4o-mini,0.0,42,0,easy,aniso_x2,A,B,0,0.6,0.21121822962313752,0.6,0.8533333333333334,0.52,73,77,115,35,60,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,hard,aniso_x2,A,B,0,0.6,0.21121822962313752,0.6,0.8533333333333334,0.52,73,77,115,35,60,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,mixed,aniso_x2,A,B,0,0.6,0.21121822962313752,0.6,0.8533333333333334,0.52,73,77,115,35,60,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,random,aniso_x2,A,B,0,0.6,0.21121822962313752,0.6,0.8533333333333334,0.52,73,77,115,35,60,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,easy,aniso_x2,A,B,0,0.9178082191780822,0.8356164383561644,0.9178082191780821,0.8533333333333334,0.7808219178082192,73,77,73,73,12,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,hard,aniso_x2,A,B,0,0.5821917808219178,0.15002863141820966,0.5821917808219177,0.8533333333333334,0.5,73,77,28,118,61,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,mixed,aniso_x2,A,B,0,0.7945205479452054,0.5924064768285874,0.7945205479452053,0.8533333333333334,0.815068493150685,73,77,95,51,30,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,random,aniso_x2,A,B,0,0.8561643835616438,0.7117879300620418,0.8561643835616439,0.8533333333333334,0.952054794520548,73,77,68,78,21,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,easy,aniso_x2,A,B,0,0.8785714285714286,0.7576374745417516,0.8785714285714287,0.8533333333333334,0.7785714285714286,73,77,75,65,17,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,hard,aniso_x2,A,B,0,0.5928571428571429,0.19975932611311675,0.5928571428571429,0.8533333333333334,0.5857142857142857,73,77,113,27,57,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,mixed,aniso_x2,A,B,0,0.9,0.7998366013071896,0.9,0.8533333333333334,0.7928571428571428,73,77,68,72,14,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,10,random,aniso_x2,A,B,0,0.9071428571428571,0.814663951120163,0.907142857142857,0.8533333333333334,0.8928571428571429,73,77,75,65,13,140,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,20,easy,aniso_x2,A,B,0,0.9153846153846154,0.8305285612704432,0.9153846153846155,0.8533333333333334,0.7923076923076923,73,77,62,68,11,130,0,0.3,1.5
