seed,n_features,algorithm,fidelidade,w0,w1,w2
42,3,perceptron,0.72,0.0,1.0569992002506554,0.18312278350628788
42,3,nnls,0.8466666666666667,0.035186422774333724,0.15387275886545307,0.025694276405615533
42,3,lp,0.8266666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
123,3,perceptron,0.74,0.0,0.004784854512611847,0.0
123,3,nnls,0.8733333333333333,0.04561317656305051,0.14740163808780402,0.013529867096419578
123,3,lp,0.7866666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,3,perceptron,0.7933333333333333,0.5405519396562024,0.7355508379806366,0.07753149672062135
7,3,nnls,0.8666666666666667,0.03743153167282049,0.14491240738690372,0.012658357462883966
7,3,lp,0.82,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,2,llm_2feat,0.82,,,
123,2,llm_2feat,0.8666666666666667,,,
7,2,llm_2feat,0.82,,,
