provider,model,temperature,random_seed,n_shot,example_ordering,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_disagreements,n_total_test,n_malformed_responses
openai,gpt-4o-mini,0.0,42,5,class0_first,0,0.8013698630136986,0.605846211133867,0.8013698630136986,0.8533333333333334,0.8082191780821918,29,146,0
openai,gpt-4o-mini,0.0,42,5,class1_first,0,0.8287671232876712,0.6584315927381621,0.8287671232876712,0.8533333333333334,0.7945205479452054,25,146,0
openai,gpt-4o-mini,0.0,42,5,shuffled,0,0.8493150684931506,0.6997569639184895,0.8493150684931507,0.8533333333333334,0.8287671232876712,22,146,0
openai,gpt-4o-mini,0.0,42,5,alternating,0,0.8424657534246576,0.6866952789699571,0.8424657534246576,0.8533333333333334,0.8493150684931506,23,146,0
openai,gpt-4o-mini,0.0,42,10,class0_first,0,0.9,0.7998366013071896,0.9,0.8533333333333334,0.7928571428571428,14,140,0
openai,gpt-4o-mini,0.0,42,10,class1_first,0,0.8785714285714286,0.7570436913025724,0.8785714285714286,0.8533333333333334,0.8,17,140,0
openai,gpt-4o-mini,0.0,42,10,shuffled,0,0.8928571428571429,0.785976355483082,0.8928571428571428,0.8533333333333334,0.8142857142857143,15,140,0
openai,gpt-4o-mini,0.0,42,10,alternating,0,0.8714285714285714,0.7430668841761827,0.8714285714285714,0.8533333333333334,0.8214285714285714,18,140,0
openai,gpt-4o-mini,0.0,42,20,class0_first,0,0.9,0.7993350748040845,0.9000000000000001,0.8533333333333334,0.7846153846153846,13,130,0
openai,gpt-4o-mini,0.0,42,20,class1_first,0,0.9076923076923077,0.8157335223245925,0.9076923076923077,0.8533333333333334,0.823076923076923,12,130,0
openai,gpt-4o-mini,0.0,42,20,shuffled,0,0.9,0.8004722550177096,0.8999999999999999,0.8533333333333334,0.8,13,130,0
openai,gpt-4o-mini,0.0,42,20,alternating,0,0.9,0.8008484562809333,0.8999999999999999,0.8533333333333334,0.8307692307692308,13,130,0
