problem,is_nonlinear,algorithm,n_features,fidelity_vs_llm,accuracy_vs_true,seed
A_B_C_lineares,False,perceptron,3,0.82,,42
A_B_C_lineares,False,perceptron,3,0.74,,123
A_B_C_lineares,False,perceptron,3,0.7266666666666667,,7
A_B_C_lineares,False,perceptron,4,0.78,,42
A_B_C_lineares,False,perceptron,4,0.8333333333333334,,123
A_B_C_lineares,False,perceptron,4,0.8866666666666667,,7
homem_mulher,True,perceptron,2,0.5857142857142857,0.08571428571428572,42
homem_mulher,True,nnls,2,0.5857142857142857,0.08571428571428572,42
homem_mulher,True,perceptron,3,0.5857142857142857,0.11428571428571428,42
homem_mulher,True,nnls,3,0.5571428571428572,0.3142857142857143,42
homem_mulher,True,perceptron,4,0.8142857142857143,0.37142857142857144,42
homem_mulher,True,nnls,4,0.8142857142857143,0.42857142857142855,42
homem_mulher,True,perceptron,2,0.5714285714285714,0.8857142857142857,42
homem_mulher,True,nnls,2,0.5571428571428572,0.9,42
homem_mulher,True,perceptron,3,0.5428571428571428,0.8857142857142857,42
homem_mulher,True,nnls,3,0.5571428571428572,0.8714285714285714,42
homem_mulher,True,perceptron,4,0.6142857142857143,0.8714285714285714,42
homem_mulher,True,nnls,4,0.6857142857142857,0.7428571428571429,42
homem_mulher,True,perceptron,2,0.44285714285714284,0.6428571428571429,123
homem_mulher,True,nnls,2,0.4857142857142857,0.5714285714285714,123
homem_mulher,True,perceptron,3,0.5,0.44285714285714284,123
homem_mulher,True,nnls,3,0.4857142857142857,0.4,123
homem_mulher,True,perceptron,4,0.7571428571428571,0.4142857142857143,123
homem_mulher,True,nnls,4,0.7571428571428571,0.4142857142857143,123
homem_mulher,True,perceptron,2,0.6428571428571429,0.9285714285714286,123
homem_mulher,True,nnls,2,0.6285714285714286,0.8571428571428571,123
homem_mulher,True,perceptron,3,0.6428571428571429,0.9,123
homem_mulher,True,nnls,3,0.6285714285714286,0.8571428571428571,123
homem_mulher,True,perceptron,4,0.7,0.8428571428571429,123
homem_mulher,True,nnls,4,0.7428571428571429,0.8,123
homem_mulher,True,perceptron,2,0.2571428571428571,0.5142857142857142,7
homem_mulher,True,nnls,2,0.6571428571428571,0.2,7
homem_mulher,True,perceptron,3,0.5714285714285714,0.11428571428571428,7
homem_mulher,True,nnls,3,0.5714285714285714,0.3142857142857143,7
homem_mulher,True,perceptron,4,0.7714285714285715,0.3142857142857143,7
homem_mulher,True,nnls,4,0.8,0.37142857142857144,7
homem_mulher,True,perceptron,2,0.5714285714285714,0.5714285714285714,7
homem_mulher,True,nnls,2,0.5714285714285714,0.4857142857142857,7
homem_mulher,True,perceptron,3,0.5857142857142857,0.5,7
homem_mulher,True,nnls,3,0.6428571428571429,0.4714285714285714,7
homem_mulher,True,perceptron,4,0.7142857142857143,0.5142857142857142,7
homem_mulher,True,nnls,4,0.7,0.5,7
meia_lua_seed42,True,perceptron,2,0.7142857142857143,0.4857142857142857,42
meia_lua_seed42,True,nnls,2,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,perceptron,3,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,nnls,3,0.8285714285714286,0.5428571428571428,42
meia_lua_seed42,True,perceptron,4,0.7523809523809524,0.580952380952381,42
meia_lua_seed42,True,nnls,4,0.7619047619047619,0.5904761904761905,42
