provider,model,temperature,random_seed,n_shot,example_strategy,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,0,0.589041095890411,0.1642816256439611,0.589041095890411
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,1,0.5753424657534246,0.13576475081153327,0.5753424657534247
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,2,0.5821917808219178,0.15002863141820966,0.5821917808219177
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,0,0.6666666666666666,0.32657833203429454,0.6666666666666665
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,1,0.6597222222222222,0.31281651733541105,0.6597222222222221
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,2,0.6666666666666666,0.32657833203429454,0.6666666666666665
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,0,0.8169014084507042,0.634383046147752,0.8169014084507042
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,1,0.8098591549295775,0.62017039825639,0.8098591549295774
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,2,0.823943661971831,0.6483059243114722,0.823943661971831
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,0,0.8382352941176471,0.67786391042205,0.838235294117647
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,1,0.8602941176470589,0.7214316515739543,0.8602941176470589
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,2,0.8455882352941176,0.6921086675291074,0.8455882352941176
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,0,0.8692307692307693,0.7398163409465506,0.8692307692307693
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,1,0.8615384615384616,0.7243816254416962,0.8615384615384616
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,2,0.8615384615384616,0.7241216694175903,0.8615384615384616
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,0,0.8492063492063492,0.6994727592267136,0.8492063492063491
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,1,0.8492063492063492,0.6994727592267136,0.8492063492063491
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,2,0.8571428571428571,0.7154328732747804,0.8571428571428572
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,0,0.5616438356164384,0.14510521500457463,0.5616438356164384
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,1,0.5616438356164384,0.14385193329668322,0.5616438356164384
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,2,0.547945205479452,0.11838975297346754,0.547945205479452
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,0,0.7847222222222222,0.575019040365575,0.7847222222222223
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,1,0.7847222222222222,0.575019040365575,0.7847222222222223
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,2,0.7916666666666666,0.5884146341463414,0.7916666666666667
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,0,0.8169014084507042,0.6389595149618619,0.8169014084507042
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,1,0.8028169014084507,0.6117945713727788,0.8028169014084507
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,2,0.8098591549295775,0.6253664256400234,0.8098591549295775
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,0,0.8455882352941176,0.6946107784431137,0.8455882352941178
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,1,0.8455882352941176,0.6946107784431137,0.8455882352941178
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,2,0.8455882352941176,0.6946107784431137,0.8455882352941178
openai,gpt-4o-mini,0.0,123,20,dilution_4hard_16easy,0,0.8461538461538461,0.6957641001638193,0.8461538461538461
openai,gpt-4o-mini,0.0,123,20,dilution_4hard_16easy,1,0.8615384615384616,0.7256740914419695,0.8615384615384616
openai,gpt-4o-mini,0.0,123,20,dilution_4hard_16easy,2,0.8461538461538461,0.6957641001638193,0.8461538461538461
openai,gpt-4o-mini,0.0,123,24,dilution_4hard_20easy,0,0.8650793650793651,0.7331173685522053,0.8650793650793651
openai,gpt-4o-mini,0.0,123,24,dilution_4hard_20easy,1,0.8492063492063492,0.7023128574981348,0.8492063492063492
openai,gpt-4o-mini,0.0,123,24,dilution_4hard_20easy,2,0.8571428571428571,0.7176997759522031,0.857142857142857
openai,gpt-4o-mini,0.0,7,4,dilution_4hard_0easy,0,0.7328767123287672,0.46755189826070687,0.7328767123287672
openai,gpt-4o-mini,0.0,7,4,dilution_4hard_0easy,1,0.726027397260274,0.4535928143712574,0.726027397260274
openai,gpt-4o-mini,0.0,7,4,dilution_4hard_0easy,2,0.7328767123287672,0.46755189826070687,0.7328767123287672
openai,gpt-4o-mini,0.0,7,6,dilution_4hard_2easy,0,0.7708333333333334,0.5458715596330275,0.7708333333333333
openai,gpt-4o-mini,0.0,7,6,dilution_4hard_2easy,1,0.7777777777777778,0.5598853868194842,0.7777777777777779
openai,gpt-4o-mini,0.0,7,6,dilution_4hard_2easy,2,0.7777777777777778,0.5598853868194842,0.7777777777777779
openai,gpt-4o-mini,0.0,7,8,dilution_4hard_4easy,0,0.7887323943661971,0.582680250783699,0.7887323943661972
openai,gpt-4o-mini,0.0,7,8,dilution_4hard_4easy,1,0.7887323943661971,0.582680250783699,0.7887323943661972
openai,gpt-4o-mini,0.0,7,8,dilution_4hard_4easy,2,0.7887323943661971,0.5831702544031311,0.7887323943661971
openai,gpt-4o-mini,0.0,7,14,dilution_4hard_10easy,0,0.8014705882352942,0.6075245831551945,0.8014705882352942
openai,gpt-4o-mini,0.0,7,14,dilution_4hard_10easy,1,0.7941176470588235,0.5927272727272728,0.7941176470588236
openai,gpt-4o-mini,0.0,7,14,dilution_4hard_10easy,2,0.8014705882352942,0.6070205479452055,0.8014705882352942
openai,gpt-4o-mini,0.0,7,20,dilution_4hard_16easy,0,0.7846153846153846,0.576152771308803,0.7846153846153847
openai,gpt-4o-mini,0.0,7,20,dilution_4hard_16easy,1,0.7923076923076923,0.5910044278722908,0.7923076923076924
openai,gpt-4o-mini,0.0,7,20,dilution_4hard_16easy,2,0.8076923076923077,0.6207701283547258,0.8076923076923077
openai,gpt-4o-mini,0.0,7,24,dilution_4hard_20easy,0,0.8253968253968254,0.655223880597015,0.8253968253968254
openai,gpt-4o-mini,0.0,7,24,dilution_4hard_20easy,1,0.8253968253968254,0.655223880597015,0.8253968253968254
openai,gpt-4o-mini,0.0,7,24,dilution_4hard_20easy,2,0.8253968253968254,0.655223880597015,0.8253968253968254
