problem_name,seed,n_features,feature_names,prompt_variant,fidelity_perc_vs_llm,fidelity_nnls_vs_llm,accuracy_perc_vs_true,accuracy_nnls_vs_true,llm_accuracy_vs_true,gamma_perc,n_malformed
homem_mulher,42,2,x1/x2,default,0.5857142857142857,0.5857142857142857,0.08571428571428572,0.08571428571428572,0.44285714285714284,0.091796875,0
homem_mulher,42,3,x1/x2,default,0.5857142857142857,0.5571428571428572,0.11428571428571428,0.3142857142857143,0.44285714285714284,0.0669921875,0
homem_mulher,42,4,x1/x2,default,0.8142857142857143,0.8142857142857143,0.37142857142857144,0.42857142857142855,0.44285714285714284,0.06914062500000001,0
homem_mulher,42,2,peso/altura,default,0.5714285714285714,0.5571428571428572,0.8857142857142857,0.9,0.5428571428571428,0.1013671875,0
homem_mulher,42,3,peso/altura,default,0.5428571428571428,0.5571428571428572,0.8857142857142857,0.8714285714285714,0.5428571428571428,0.06435546875,0
homem_mulher,42,4,peso/altura,default,0.6142857142857143,0.6857142857142857,0.8714285714285714,0.7428571428571429,0.5428571428571428,0.0658203125,0
homem_mulher,123,2,x1/x2,default,0.44285714285714284,0.4857142857142857,0.6428571428571429,0.5714285714285714,0.45714285714285713,0.07509765625,0
homem_mulher,123,3,x1/x2,default,0.5,0.4857142857142857,0.44285714285714284,0.4,0.45714285714285713,0.08505859375000002,0
homem_mulher,123,4,x1/x2,default,0.7571428571428571,0.7571428571428571,0.4142857142857143,0.4142857142857143,0.45714285714285713,0.06962890625000001,0
homem_mulher,123,2,peso/altura,default,0.6428571428571429,0.6285714285714286,0.9285714285714286,0.8571428571428571,0.6571428571428571,0.08066406250000002,0
homem_mulher,123,3,peso/altura,default,0.6428571428571429,0.6285714285714286,0.9,0.8571428571428571,0.6571428571428571,0.06904296875000002,0
homem_mulher,123,4,peso/altura,default,0.7,0.7428571428571429,0.8428571428571429,0.8,0.6571428571428571,0.06728515625,0
homem_mulher,7,2,x1/x2,default,0.2571428571428571,0.6571428571428571,0.5142857142857142,0.2,0.42857142857142855,2.3125,0
homem_mulher,7,3,x1/x2,default,0.5714285714285714,0.5714285714285714,0.11428571428571428,0.3142857142857143,0.42857142857142855,0.0724609375,0
homem_mulher,7,4,x1/x2,default,0.7714285714285715,0.8,0.3142857142857143,0.37142857142857144,0.42857142857142855,0.07578125000000001,0
homem_mulher,7,2,peso/altura,default,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4857142857142857,0.5428571428571428,0.08046874999999999,0
homem_mulher,7,3,peso/altura,default,0.5857142857142857,0.6428571428571429,0.5,0.4714285714285714,0.5428571428571428,0.07500000000000001,0
homem_mulher,7,4,peso/altura,default,0.7142857142857143,0.7,0.5142857142857142,0.5,0.5428571428571428,0.07070312499999999,0
meia_lua_seed42,42,2,x1/x2,default,0.7142857142857143,0.6857142857142857,0.4857142857142857,0.5714285714285714,0.4857142857142857,0.11044921875,0
meia_lua_seed42,42,3,x1/x2,default,0.6857142857142857,0.8285714285714286,0.5714285714285714,0.5428571428571428,0.4857142857142857,0.05166015624999999,0
meia_lua_seed42,42,4,x1/x2,default,0.7523809523809524,0.7619047619047619,0.580952380952381,0.5904761904761905,0.4857142857142857,0.0703125,0
