provider,model,temperature,random_seed,n_shot,example_strategy,expert_name,class_0,class_1,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_class_0_expert,n_class_1_expert,n_class_0_llm,n_class_1_llm,n_disagreements,n_total_test,n_malformed_responses,expert_w_0,expert_w_1
openai,gpt-4o-mini,0.0,42,0,easy,aniso_x2,A,B,0,0.5666666666666667,0.14518674381904273,0.5666666666666667,0.8533333333333334,0.5133333333333333,73,77,114,36,65,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,hard,aniso_x2,A,B,0,0.5666666666666667,0.14518674381904273,0.5666666666666667,0.8533333333333334,0.5133333333333333,73,77,114,36,65,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,mixed,aniso_x2,A,B,0,0.5666666666666667,0.14518674381904273,0.5666666666666667,0.8533333333333334,0.5133333333333333,73,77,114,36,65,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,random,aniso_x2,A,B,0,0.5666666666666667,0.14518674381904273,0.5666666666666667,0.8533333333333334,0.5133333333333333,73,77,114,36,65,150,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,easy,aniso_x2,A,B,0,0.910958904109589,0.8218509480007509,0.910958904109589,0.8533333333333334,0.773972602739726,73,77,72,74,13,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,hard,aniso_x2,A,B,0,0.5616438356164384,0.10720428052742204,0.5616438356164383,0.8533333333333334,0.4794520547945205,73,77,25,121,64,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,mixed,aniso_x2,A,B,0,0.8013698630136986,0.605846211133867,0.8013698630136986,0.8533333333333334,0.8082191780821918,73,77,94,52,29,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,5,random,aniso_x2,A,B,0,0.863013698630137,0.7256154858109378,0.8630136986301369,0.8533333333333334,0.9452054794520548,73,77,69,77,20,146,0,0.3,1.5
openai,gpt-4o-mini,0.0,42,0,easy,aniso_x1,A,B,0,0.44,-0.09356014580801952,0.44,0.92,0.49333333333333335,71,79,109,41,84,150,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,0,hard,aniso_x1,A,B,0,0.44,-0.09356014580801952,0.44,0.92,0.49333333333333335,71,79,109,41,84,150,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,0,mixed,aniso_x1,A,B,0,0.44,-0.09356014580801952,0.44,0.92,0.49333333333333335,71,79,109,41,84,150,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,0,random,aniso_x1,A,B,0,0.44,-0.09356014580801952,0.44,0.92,0.49333333333333335,71,79,109,41,84,150,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,5,easy,aniso_x1,A,B,0,0.7397260273972602,0.4871510445553706,0.7397260273972602,0.92,0.7808219178082192,71,79,93,53,38,146,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,5,hard,aniso_x1,A,B,0,0.2808219178082192,-0.4525298465036951,0.2808219178082192,0.92,0.273972602739726,71,79,60,86,105,146,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,5,mixed,aniso_x1,A,B,0,0.8013698630136986,0.6094816454528685,0.8013698630136986,0.92,0.8287671232876712,71,79,96,50,29,146,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,5,random,aniso_x1,A,B,0,0.7671232876712328,0.5328439676265764,0.7671232876712328,0.92,0.821917808219178,71,79,69,77,34,146,0,1.5,0.3
openai,gpt-4o-mini,0.0,42,0,easy,euclidean,A,B,0,0.5133333333333333,0.06362237044638264,0.5133333333333334,0.9466666666666667,0.5,69,81,112,38,73,150,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,0,hard,euclidean,A,B,0,0.5133333333333333,0.06362237044638264,0.5133333333333334,0.9466666666666667,0.5,69,81,112,38,73,150,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,0,mixed,euclidean,A,B,0,0.5133333333333333,0.06362237044638264,0.5133333333333334,0.9466666666666667,0.5,69,81,112,38,73,150,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,0,random,euclidean,A,B,0,0.5133333333333333,0.06362237044638264,0.5133333333333334,0.9466666666666667,0.5,69,81,112,38,73,150,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,5,easy,euclidean,A,B,0,0.7945205479452054,0.5945195334197371,0.7945205479452055,0.9466666666666667,0.7808219178082192,69,81,85,61,30,146,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,5,hard,euclidean,A,B,0,0.4931506849315068,-0.01828463713477868,0.4931506849315068,0.9466666666666667,0.5205479452054794,69,81,69,77,74,146,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,5,mixed,euclidean,A,B,0,0.9246575342465754,0.8498223302786609,0.9246575342465753,0.9466666666666667,0.9246575342465754,69,81,76,70,11,146,0,1.0,1.0
openai,gpt-4o-mini,0.0,42,5,random,euclidean,A,B,0,0.8972602739726028,0.7900287631831255,0.8972602739726028,0.9466666666666667,0.8561643835616438,69,81,54,92,15,146,0,1.0,1.0
