provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,k-NN (k=3),42,5,easy,aniso_x2,0.952054794520548,0.9037845980041423,0.9518806128351545,0.8698630136986302,0.8533333333333334,146
classical,Logistic Regression,42,5,easy,aniso_x2,0.958904109589041,0.9175607001693958,0.9587878881795079,0.8767123287671232,0.8533333333333334,146
classical,SVM (RBF),42,5,easy,aniso_x2,0.958904109589041,0.9176846457432813,0.9588809352147492,0.8767123287671232,0.8533333333333334,146
classical,k-NN (k=3),42,5,hard,aniso_x2,0.4863013698630137,0.0,0.3182248595416956,0.5,0.8533333333333334,146
classical,Logistic Regression,42,5,hard,aniso_x2,0.8904109589041096,0.7798303487276155,0.8896845163968451,0.7808219178082192,0.8533333333333334,146
classical,SVM (RBF),42,5,hard,aniso_x2,0.4041095890410959,-0.21040594625500275,0.35277614171084043,0.3356164383561644,0.8533333333333334,146
classical,k-NN (k=3),42,5,mixed,aniso_x2,0.958904109589041,0.9175607001693958,0.9587878881795079,0.8698630136986302,0.8533333333333334,146
classical,Logistic Regression,42,5,mixed,aniso_x2,0.8356164383561644,0.6736822499534364,0.8325154527230204,0.8561643835616438,0.8533333333333334,146
classical,SVM (RBF),42,5,mixed,aniso_x2,0.9041095890410958,0.8086500655307994,0.9039655283297962,0.8835616438356164,0.8533333333333334,146
classical,k-NN (k=3),42,5,random,aniso_x2,0.8698630136986302,0.7388439088683865,0.869390234838276,0.9383561643835616,0.8533333333333334,146
classical,Logistic Regression,42,5,random,aniso_x2,0.8561643835616438,0.7111362351611079,0.855368584293507,0.9246575342465754,0.8533333333333334,146
classical,SVM (RBF),42,5,random,aniso_x2,0.8424657534246576,0.6833867622100698,0.8412333248681675,0.910958904109589,0.8533333333333334,146
classical,k-NN (k=3),42,5,easy,aniso_x1,0.9657534246575342,0.9312488227538143,0.9657389099799698,0.9246575342465754,0.92,146
classical,Logistic Regression,42,5,easy,aniso_x1,1.0,1.0,1.0,0.9178082191780822,0.92,146
classical,SVM (RBF),42,5,easy,aniso_x1,0.9863013698630136,0.9724787935909519,0.9862884563730655,0.9178082191780822,0.92,146
classical,k-NN (k=3),42,5,hard,aniso_x1,0.5342465753424658,0.11119068934646392,0.42698342493589886,0.5547945205479452,0.92,146
classical,Logistic Regression,42,5,hard,aniso_x1,0.821917808219178,0.6491033462747273,0.8186707255200405,0.8287671232876712,0.92,146
classical,SVM (RBF),42,5,hard,aniso_x1,0.541095890410959,0.03815142576204522,0.44161430793904993,0.4931506849315068,0.92,146
classical,k-NN (k=3),42,5,mixed,aniso_x1,0.952054794520548,0.9036030937558951,0.9519801452268077,0.952054794520548,0.92,146
classical,Logistic Regression,42,5,mixed,aniso_x1,0.8082191780821918,0.6226693741923573,0.8039435766789175,0.821917808219178,0.92,146
classical,SVM (RBF),42,5,mixed,aniso_x1,0.9041095890410958,0.8087932647333957,0.9041095890410958,0.9452054794520548,0.92,146
classical,k-NN (k=3),42,5,random,aniso_x1,0.863013698630137,0.7226970560303894,0.8614418535197542,0.8767123287671232,0.92,146
classical,Logistic Regression,42,5,random,aniso_x1,0.9041095890410958,0.807060600339815,0.9038921915478961,0.9178082191780822,0.92,146
classical,SVM (RBF),42,5,random,aniso_x1,0.9041095890410958,0.8076416337285903,0.9041095890410958,0.9315068493150684,0.92,146
classical,k-NN (k=3),42,5,easy,euclidean,0.9863013698630136,0.9723537208861958,0.9862832088003322,0.9452054794520548,0.9466666666666667,146
classical,Logistic Regression,42,5,easy,euclidean,0.9794520547945206,0.9584834123222749,0.9794082134624714,0.9383561643835616,0.9466666666666667,146
classical,SVM (RBF),42,5,easy,euclidean,0.9794520547945206,0.9584834123222749,0.9794082134624714,0.9383561643835616,0.9466666666666667,146
classical,k-NN (k=3),42,5,hard,euclidean,0.6301369863013698,0.24842707340324122,0.6273076651026807,0.6438356164383562,0.9466666666666667,146
classical,Logistic Regression,42,5,hard,euclidean,0.6232876712328768,0.23363237259018899,0.6198769584119432,0.636986301369863,0.9466666666666667,146
classical,SVM (RBF),42,5,hard,euclidean,0.547945205479452,0.041956651421753866,0.4866766128667661,0.5616438356164384,0.9466666666666667,146
classical,k-NN (k=3),42,5,mixed,euclidean,0.9931506849315068,0.9861925477586533,0.9931464743533684,0.952054794520548,0.9466666666666667,146
classical,Logistic Regression,42,5,mixed,euclidean,0.8767123287671232,0.7539786556824565,0.8768975496816516,0.8767123287671232,0.9466666666666667,146
classical,SVM (RBF),42,5,mixed,euclidean,0.910958904109589,0.8217170768363704,0.9111054428012788,0.8972602739726028,0.9466666666666667,146
classical,k-NN (k=3),42,5,random,euclidean,0.9383561643835616,0.874594388242031,0.9377980477401363,0.8972602739726028,0.9466666666666667,146
classical,Logistic Regression,42,5,random,euclidean,0.958904109589041,0.9166825185466996,0.9586926787504177,0.9178082191780822,0.9466666666666667,146
classical,SVM (RBF),42,5,random,euclidean,0.9452054794520548,0.8886558627264061,0.9447863207559527,0.9041095890410958,0.9466666666666667,146
