provider,model,temperature,random_seed,n_shot,example_ordering,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert,accuracy_expert_vs_gt,accuracy_llm_vs_gt,n_disagreements,n_total_test,n_malformed_responses
openai,gpt-4o-mini,0.0,42,5,class0_first,0,0.7945205479452054,0.5924064768285874,0.7945205479452053,0.8533333333333334,0.8013698630136986,30,146,0
openai,gpt-4o-mini,0.0,42,5,class1_first,0,0.8287671232876712,0.658687114269684,0.8287671232876712,0.8533333333333334,0.7808219178082192,25,146,0
openai,gpt-4o-mini,0.0,42,5,shuffled,0,0.8424657534246576,0.6862268734815922,0.8424657534246576,0.8533333333333334,0.8493150684931506,23,146,0
openai,gpt-4o-mini,0.0,42,5,alternating,0,0.8356164383561644,0.6731952993844432,0.8356164383561644,0.8533333333333334,0.8424657534246576,24,146,0
openai,gpt-4o-mini,0.0,42,10,class0_first,0,0.9,0.7998366013071896,0.9,0.8533333333333334,0.7928571428571428,14,140,0
openai,gpt-4o-mini,0.0,42,10,class1_first,0,0.8785714285714286,0.7570436913025724,0.8785714285714286,0.8533333333333334,0.8,17,140,0
openai,gpt-4o-mini,0.0,42,10,shuffled,0,0.8928571428571429,0.785976355483082,0.8928571428571428,0.8533333333333334,0.8142857142857143,15,140,0
openai,gpt-4o-mini,0.0,42,10,alternating,0,0.8714285714285714,0.7432762836185819,0.8714285714285714,0.8533333333333334,0.8071428571428572,18,140,0
openai,gpt-4o-mini,0.0,42,20,class0_first,0,0.8923076923076924,0.7837966262770254,0.8923076923076924,0.8533333333333334,0.7769230769230769,14,130,0
openai,gpt-4o-mini,0.0,42,20,class1_first,0,0.9153846153846154,0.8308493021055122,0.9153846153846154,0.8533333333333334,0.8153846153846154,11,130,0
openai,gpt-4o-mini,0.0,42,20,shuffled,0,0.8846153846153846,0.7697756788665879,0.8846153846153846,0.8533333333333334,0.8,15,130,0
openai,gpt-4o-mini,0.0,42,20,alternating,0,0.9,0.8008484562809333,0.8999999999999999,0.8533333333333334,0.8461538461538461,13,130,0
