provider,model,temperature,random_seed,n_shot,example_strategy,repetition,accuracy_llm_vs_expert,kappa_llm_vs_expert,f1_llm_vs_expert
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,0,0.5684931506849316,0.1214899713467048,0.5684931506849316
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,1,0.5684931506849316,0.1214899713467048,0.5684931506849316
openai,gpt-4o-mini,0.0,42,4,dilution_4hard_0easy,2,0.5753424657534246,0.13576475081153327,0.5753424657534247
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,0,0.6597222222222222,0.31281651733541105,0.6597222222222221
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,1,0.6597222222222222,0.31281651733541105,0.6597222222222221
openai,gpt-4o-mini,0.0,42,6,dilution_4hard_2easy,2,0.6666666666666666,0.3271028037383177,0.6666666666666666
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,0,0.823943661971831,0.6483059243114722,0.823943661971831
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,1,0.8309859154929577,0.6622398414271555,0.8309859154929577
openai,gpt-4o-mini,0.0,42,8,dilution_4hard_4easy,2,0.823943661971831,0.6483059243114722,0.823943661971831
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,0,0.8308823529411765,0.6630762602326583,0.8308823529411764
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,1,0.8529411764705882,0.7068965517241379,0.8529411764705883
openai,gpt-4o-mini,0.0,42,14,dilution_4hard_10easy,2,0.8602941176470589,0.7214316515739543,0.8602941176470589
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,0,0.8538461538461538,0.7089323591798256,0.8538461538461539
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,1,0.8615384615384616,0.7241216694175903,0.8615384615384616
openai,gpt-4o-mini,0.0,42,20,dilution_4hard_16easy,2,0.8615384615384616,0.7243816254416962,0.8615384615384616
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,0,0.8571428571428571,0.7154328732747804,0.8571428571428572
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,1,0.8650793650793651,0.7313769751693002,0.865079365079365
openai,gpt-4o-mini,0.0,42,24,dilution_4hard_20easy,2,0.8571428571428571,0.7151469480030144,0.8571428571428571
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,0,0.547945205479452,0.1170973062122046,0.547945205479452
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,1,0.547945205479452,0.11838975297346754,0.547945205479452
openai,gpt-4o-mini,0.0,123,4,dilution_4hard_0easy,2,0.5753424657534246,0.1718206770356816,0.5753424657534245
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,0,0.7916666666666666,0.5884146341463414,0.7916666666666667
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,1,0.7986111111111112,0.6018306636155606,0.798611111111111
openai,gpt-4o-mini,0.0,123,6,dilution_4hard_2easy,2,0.7847222222222222,0.575019040365575,0.7847222222222223
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,0,0.8098591549295775,0.6253664256400234,0.8098591549295775
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,1,0.8169014084507042,0.6389595149618619,0.8169014084507042
openai,gpt-4o-mini,0.0,123,8,dilution_4hard_4easy,2,0.8028169014084507,0.6117945713727788,0.8028169014084507
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,0,0.8455882352941176,0.6946107784431137,0.8455882352941178
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,1,0.8382352941176471,0.6803418803418804,0.838235294117647
openai,gpt-4o-mini,0.0,123,14,dilution_4hard_10easy,2,0.8382352941176471,0.6803418803418804,0.838235294117647
openai,gpt-4o-mini,0.0,123,20,dilution_4hard_16easy,0,0.8461538461538461,0.6957641001638193,0.8461538461538461
