problem,is_nonlinear,algorithm,n_features,fidelity_vs_llm,accuracy_vs_true,seed
A_B_C_lineares,False,perceptron,3,0.8466666666666667,,42
A_B_C_lineares,False,perceptron,3,0.7533333333333333,,123
A_B_C_lineares,False,perceptron,3,0.84,,7
A_B_C_lineares,False,perceptron,4,0.8466666666666667,,42
A_B_C_lineares,False,perceptron,4,0.8466666666666667,,123
A_B_C_lineares,False,perceptron,4,0.9,,7
homem_mulher,True,perceptron,2,0.6142857142857143,0.1,42
homem_mulher,True,nnls,2,0.6142857142857143,0.1,42
homem_mulher,True,perceptron,3,0.6142857142857143,0.1,42
homem_mulher,True,nnls,3,0.6285714285714286,0.08571428571428572,42
homem_mulher,True,perceptron,4,0.6142857142857143,0.15714285714285714,42
homem_mulher,True,nnls,4,0.8,0.4,42
homem_mulher,True,perceptron,2,0.5428571428571428,0.8857142857142857,42
homem_mulher,True,nnls,2,0.5428571428571428,0.7714285714285715,42
homem_mulher,True,perceptron,3,0.5571428571428572,0.9,42
homem_mulher,True,nnls,3,0.6857142857142857,0.8,42
homem_mulher,True,perceptron,4,0.5714285714285714,0.9142857142857143,42
homem_mulher,True,nnls,4,0.7142857142857143,0.7142857142857143,42
homem_mulher,True,perceptron,2,0.4714285714285714,0.5142857142857142,123
homem_mulher,True,nnls,2,0.45714285714285713,0.5285714285714286,123
homem_mulher,True,perceptron,3,0.5142857142857142,0.5285714285714286,123
homem_mulher,True,nnls,3,0.42857142857142855,0.44285714285714284,123
homem_mulher,True,perceptron,4,0.7857142857142857,0.4,123
homem_mulher,True,nnls,4,0.8,0.44285714285714284,123
homem_mulher,True,perceptron,2,0.6,0.9428571428571428,123
homem_mulher,True,nnls,2,0.5571428571428572,0.9,123
homem_mulher,True,perceptron,3,0.6,0.9428571428571428,123
homem_mulher,True,nnls,3,0.6,0.8857142857142857,123
homem_mulher,True,perceptron,4,0.6,0.9428571428571428,123
homem_mulher,True,nnls,4,0.6857142857142857,0.8,123
homem_mulher,True,perceptron,2,0.7285714285714285,0.17142857142857143,7
homem_mulher,True,nnls,2,0.6857142857142857,0.21428571428571427,7
homem_mulher,True,perceptron,3,0.7142857142857143,0.18571428571428572,7
homem_mulher,True,nnls,3,0.6428571428571429,0.22857142857142856,7
homem_mulher,True,perceptron,4,0.7285714285714285,0.22857142857142856,7
homem_mulher,True,nnls,4,0.8142857142857143,0.2857142857142857,7
homem_mulher,True,perceptron,2,0.5714285714285714,0.8714285714285714,7
homem_mulher,True,nnls,2,0.5857142857142857,0.8285714285714286,7
homem_mulher,True,perceptron,3,0.5714285714285714,0.8714285714285714,7
homem_mulher,True,nnls,3,0.5857142857142857,0.8285714285714286,7
homem_mulher,True,perceptron,4,0.5857142857142857,0.8857142857142857,7
homem_mulher,True,nnls,4,0.6714285714285714,0.7142857142857143,7
meia_lua_seed42,True,perceptron,2,0.6857142857142857,0.5904761904761905,42
meia_lua_seed42,True,nnls,2,0.6857142857142857,0.5714285714285714,42
meia_lua_seed42,True,perceptron,3,0.7428571428571429,0.45714285714285713,42
meia_lua_seed42,True,nnls,3,0.8285714285714286,0.5428571428571428,42
meia_lua_seed42,True,perceptron,4,0.7523809523809524,0.6,42
meia_lua_seed42,True,nnls,4,0.7619047619047619,0.5904761904761905,42
